,Artist,Event_Name,url,Country,City,Date,Max_price,Min_price,Currency,Location
285,Ashe,Ashe,https://www.ticketmaster.co.uk/ashe-liverpool-21-03-2023/event/1F005D3DE35B96D0,Great Britain,Liverpool,2023-03-21,123.55,78.55,GBP,"{'longitude': '-2.9771058', 'latitude': '53.4091275'}"
287,Headie One,Headie One,https://www.ticketmaster.se/event/headie-one-tickets/629065?language=en-us,Sweden,Johanneshov,2023-02-22,305.0,305.0,SEK,"{'longitude': '18.08019', 'latitude': '59.29254'}"
288,Noah Cyrus,Lewis Capaldi - Broken By Desire To Be Heavenly Sent Tour,https://www.ticketmaster.co.nz/lewis-capaldi-broken-by-desire-to-auckland-18-07-2023/event/24005D51B1A6168D,New Zealand,Auckland,2023-07-18,160.4,91.2,NZD,"{'longitude': '174.77687', 'latitude': '-36.847021'}"
291,Peach Tree Rascals,Peach Tree Rascals,https://concerts.livenation.com/peach-tree-rascals-san-diego-california-10-16-2024/event/0A005CD19F2B3F6E,United States Of America,San Diego,2024-10-16,17.0,17.0,USD,"{'longitude': '-117.15951', 'latitude': '32.71662'}"
292,Christian Nodal,Christian Nodal,https://www.ticketmaster.com.mx/christian-nodal-zapopan-09-03-2023/event/14005D8AADA439DE,Mexico,Zapopan,2023-03-09,4000.0,400.0,MXN,"{'longitude': '-103.38112', 'latitude': '20.73324'}"
294,Alexander 23,"girl in red moved to Eventim Apollo, Hammersmith",https://www.ticketmaster.co.uk/girl-in-red-moved-to-eventim-london-03-04-2023/event/1F005CB3D7C74D55,Great Britain,London,2023-04-03,29.9,29.9,GBP,"{'longitude': '-0.115176', 'latitude': '51.465355'}"
296,Mustard,Mustard Service,https://www.ticketmaster.com/mustard-service-madison-wisconsin-04-23-2023/event/07005E46B0F41987,United States Of America,Madison,2023-04-23,18.0,15.0,USD,"{'longitude': '-89.3765191', 'latitude': '43.0797365'}"
297,jxdn,jxdn,https://concerts.livenation.com/jxdn-sacramento-california-02-24-2023/event/1C005D8D0D4370D7,United States Of America,Sacramento,2023-02-24,29.5,29.5,USD,"{'longitude': '-121.49087928', 'latitude': '38.569993'}"
298,The 1975,The 1975,https://www.ticketmaster.com.au/the-1975-brisbane-15-04-2023/event/13005D43E6D25853,Australia,Brisbane,2023-04-15,89.95,89.95,AUD,"{'longitude': '153.030025', 'latitude': '-27.47894'}"
299,Panic! At The Disco,Panic! At The Disco,https://www.ticketmaster.co.uk/panic-at-the-disco-glasgow-03-03-2023/event/36005CB8B2D12F46,Great Britain,Glasgow,2023-03-03,172.45,0.0,GBP,"{'longitude': '-4.288154', 'latitude': '55.86087'}"
301,Journey,Journey,https://www.ticketmaster.com/event/Z7r9jZ1Ad_aGz,United States Of America,Lincoln,2023-03-25,Unknown,Unknown,Unknown,"{'longitude': '-96.707397', 'latitude': '40.816502'}"
302,Alec Benjamin,John Mayer - Solo,https://www.ticketmaster.com/john-mayer-solo-phoenix-arizona-04-05-2023/event/19005E399BA4204F,United States Of America,Phoenix,2023-04-05,174.5,44.5,USD,"{'longitude': '-112.071313', 'latitude': '33.445899'}"
303,Jason Mraz,Jason Mraz,https://www.ticketmaster.com/event/Z7r9jZ1AdqwAM,United States Of America,Vienna,2023-08-06,Unknown,Unknown,Unknown,"{'longitude': '-77.294899', 'latitude': '38.9062'}"
304,Ellie Goulding,Pinkpop 2023 (Friday),https://www.ticketmaster.nl/event/pinkpop-2023-friday--tickets/287093?language=en-us,Netherlands,Landgraaf,2023-06-16,125.0,125.0,EUR,"{'longitude': '6.02', 'latitude': '50.88219'}"
308,Wham!,POSTPONED - PENDING NEW DATE - Wham Bam Festival,https://www.universe.com/events/postponed-pending-new-date-wham-bam-festival-tickets-820RND?ref=ticketmaster,United States Of America,Pittsboro,2023-03-02,Unknown,Unknown,Unknown,"{'longitude': '-79.294589', 'latitude': '35.791189'}"
312,Andy Williams,Uptown Moves: Holla Jazz & DJ Andy Williams,https://www.ticketmaster.ca/uptown-moves-holla-jazz-dj-andy-toronto-ontario-03-18-2024/event/10005732FE0C4E81,Canada,Toronto,2024-03-18,60.0,15.0,CAD,"{'longitude': '-79.414495', 'latitude': '43.766058'}"
314,José Feliciano,Jose Feliciano,https://www.ticketweb.com/event/jose-feliciano-blue-note-hawaii-tickets/12885515,United States Of America,Honolulu,2023-03-22,65.0,45.0,USD,"{'longitude': '-157.826171875', 'latitude': '21.27665138244629'}"
315,Tiësto,Tiesto,https://www.ticketmaster.com/event/Z7r9jZ1AdQ87o,United States Of America,Las Vegas,2023-02-11,Unknown,Unknown,Unknown,"{'longitude': '-115.145103', 'latitude': '36.124401'}"
